src_ip,dst_ip,protocol,src_port,dst_port,length
10.159.79.212,10.215.194.234,UDP,46352,53,68
10.159.79.212,10.215.194.234,UDP,44388,53,68
,,,,,86
,,,,,86
,,,,,86
,,,,,86
10.159.79.212,10.215.194.234,UDP,57167,53,68
10.159.79.212,10.215.194.234,UDP,55026,53,68
,,,,,86
,,,,,86
10.159.79.212,10.215.194.234,UDP,51731,53,68
10.159.79.212,10.215.194.234,UDP,48750,53,68
93.185.156.71,10.159.79.212,TCP,22870,50808,251
10.159.79.212,93.185.156.71,TCP,50808,22870,66
10.159.79.212,10.215.194.234,UDP,40831,53,68
10.159.79.212,10.215.194.234,UDP,37899,53,68
10.159.79.212,10.215.194.234,UDP,49867,53,68
10.159.79.212,10.215.194.234,UDP,56815,53,68
,,,,,86
,,,,,86
10.159.79.212,93.185.156.71,TCP,39218,22870,1454
10.159.79.212,93.185.156.71,TCP,39218,22870,1454
10.159.79.212,93.185.156.71,TCP,39218,22870,473
93.185.156.71,10.159.79.212,TCP,22870,39218,66
93.185.156.71,10.159.79.212,TCP,22870,39218,66
93.185.156.71,10.159.79.212,TCP,22870,39218,66
93.185.156.71,10.159.79.212,TCP,22870,39218,860
93.185.156.71,10.159.79.212,TCP,22870,39218,127
10.159.79.212,93.185.156.71,TCP,39218,22870,66
10.159.79.212,93.185.156.71,TCP,39218,22870,66
10.159.79.212,93.185.156.71,TCP,39218,22870,127
93.185.156.71,10.159.79.212,TCP,22870,39218,66
